// Made in NPC Maker by BowieD
GUID 6b522c4ea96b4d3cb2f00e7064eeb855
Type Vendor
ID 2981
Selling 24
Selling_0_ID 52361
Selling_0_Cost 1
Selling_1_ID 15094
Selling_1_Cost 2
Selling_2_ID 45004
Selling_2_Cost 1
Selling_3_ID 37181
Selling_3_Cost 1
Selling_4_ID 37124
Selling_4_Cost 1
Selling_5_ID 55502
Selling_5_Cost 7
Selling_6_ID 31505
Selling_6_Cost 3
Selling_7_ID 31504
Selling_7_Cost 6
Selling_8_ID 31506
Selling_8_Cost 10
Selling_9_ID 31510
Selling_9_Cost 3
Selling_10_ID 31508
Selling_10_Cost 1
Selling_11_ID 31509
Selling_11_Cost 2
Selling_12_ID 43354
Selling_12_Cost 6
Selling_13_ID 41924
Selling_13_Cost 4
Selling_14_ID 53516
Selling_14_Cost 1
Selling_15_ID 31171
Selling_15_Cost 2
Selling_16_ID 35170
Selling_16_Cost 1
Selling_17_ID 35171
Selling_17_Cost 2
Selling_18_ID 57912
Selling_18_Cost 2
Selling_19_ID 51927
Selling_19_Cost 4
Selling_20_ID 29968
Selling_20_Cost 3
Selling_21_ID 47690
Selling_21_Cost 2
Selling_22_ID 20492
Selling_22_Cost 5
Selling_23_ID 30921
Selling_23_Cost 4
Disable_Sorting
Currency e102381fbfa847838abb3ca740945716
