GUID c177bbb510ec4bdaa5cef65350104727
Type Vest
Rarity Rare
Useable Clothing
ID 35093

Size_X 2
Size_Y 2
Size_Z 0.6

Width 12
Height 12

Armor 0.23
Armor_Explosion 0.4
Earpiece
Proof_Water

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 35093
Blueprint_0_Product 67
Blueprint_0_Products 10
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 68
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Tool 76
Blueprint_1_Level 1
Blueprint_1_Skill Repair
Blueprint_1_Build 27

