GUID bc98f7a68ae84d87bec361a9ffcabd6a
Type Spawn
ID 38670

Tables 89
Table_0_Asset_ID 64322
Table_0_Weight 15
Table_1_Asset_ID 73
Table_1_Weight 14
Table_2_Asset_ID 254
Table_2_Weight 14
Table_3_Asset_ID 1241
Table_3_Weight 12
Table_4_Asset_ID 1000
Table_4_Weight 10
Table_5_Asset_ID 133
Table_5_Weight 9
Table_6_Asset_ID 49610
Table_6_Weight 9
Table_7_Asset_ID 132
Table_7_Weight 8
Table_8_Asset_ID 1005
Table_8_Weight 8
Table_9_Asset_ID 3518
Table_9_Weight 6
Table_10_Asset_ID 520
Table_10_Weight 5
Table_11_Asset_ID 1443
Table_11_Weight 5
Table_12_Asset_ID 519
Table_12_Weight 5
Table_13_Asset_ID 32944
Table_13_Weight 5
Table_14_Asset_ID 3517
Table_14_Weight 4
Table_15_Asset_ID 58618
Table_15_Weight 4
Table_16_Asset_ID 58620
Table_16_Weight 4
Table_17_Asset_ID 58615
Table_17_Weight 4
Table_18_Asset_ID 58619
Table_18_Weight 4
Table_19_Asset_ID 40353
Table_19_Weight 4
Table_20_Asset_ID 39141
Table_20_Weight 3
Table_21_Asset_ID 17713
Table_21_Weight 3
Table_22_Asset_ID 6700
Table_22_Weight 3
Table_23_Asset_ID 58614
Table_23_Weight 3
Table_24_Asset_ID 6044
Table_24_Weight 3
Table_25_Asset_ID 42151
Table_25_Weight 3
Table_26_Asset_ID 42148
Table_26_Weight 3
Table_27_Asset_ID 42150
Table_27_Weight 3
Table_28_Asset_ID 42149
Table_28_Weight 3
Table_29_Asset_ID 13096
Table_29_Weight 3
Table_30_Asset_ID 58617
Table_30_Weight 3
Table_31_Asset_ID 57915
Table_31_Weight 3
Table_32_Asset_ID 32161
Table_32_Weight 2
Table_33_Asset_ID 60024
Table_33_Weight 2
Table_34_Asset_ID 16832
Table_34_Weight 2
Table_35_Asset_ID 22653
Table_35_Weight 2
Table_36_Asset_ID 33369
Table_36_Weight 2
Table_37_Asset_ID 57693
Table_37_Weight 2
Table_38_Asset_ID 57913
Table_38_Weight 2
Table_39_Asset_ID 32943
Table_39_Weight 2
Table_40_Asset_ID 13509
Table_40_Weight 2
Table_41_Asset_ID 51290
Table_41_Weight 2
Table_42_Asset_ID 7800
Table_42_Weight 2
Table_43_Asset_ID 52018
Table_43_Weight 2
Table_44_Asset_ID 35875
Table_44_Weight 2
Table_45_Asset_ID 13035
Table_45_Weight 2
Table_46_Asset_ID 45295
Table_46_Weight 2
Table_47_Asset_ID 33216
Table_47_Weight 2
Table_48_Asset_ID 55525
Table_48_Weight 2
Table_49_Asset_ID 17710
Table_49_Weight 2
Table_50_Asset_ID 1441
Table_50_Weight 2
Table_51_Asset_ID 49609
Table_51_Weight 2
Table_52_Asset_ID 64812
Table_52_Weight 1
Table_53_Asset_ID 6680
Table_53_Weight 1
Table_54_Asset_ID 35592
Table_54_Weight 1
Table_55_Asset_ID 23335
Table_55_Weight 1
Table_56_Asset_ID 39816
Table_56_Weight 1
Table_57_Asset_ID 12530
Table_57_Weight 1
Table_58_Asset_ID 55520
Table_58_Weight 1
Table_59_Asset_ID 16835
Table_59_Weight 1
Table_60_Asset_ID 13655
Table_60_Weight 1
Table_61_Asset_ID 50117
Table_61_Weight 1
Table_62_Asset_ID 44524
Table_62_Weight 1
Table_63_Asset_ID 33308
Table_63_Weight 1
Table_64_Asset_ID 57911
Table_64_Weight 1
Table_65_Asset_ID 62984
Table_65_Weight 1
Table_66_Asset_ID 46671
Table_66_Weight 1
Table_67_Asset_ID 57060
Table_67_Weight 1
Table_68_Asset_ID 19629
Table_68_Weight 1
Table_69_Asset_ID 54912
Table_69_Weight 1
Table_70_Asset_ID 42915
Table_70_Weight 1
Table_71_Asset_ID 9232
Table_71_Weight 1
Table_72_Asset_ID 13308
Table_72_Weight 1
Table_73_Asset_ID 52013
Table_73_Weight 1
Table_74_Asset_ID 13507
Table_74_Weight 1
Table_75_Asset_ID 13515
Table_75_Weight 1
Table_76_Asset_ID 13410
Table_76_Weight 1
Table_77_Asset_ID 35874
Table_77_Weight 1
Table_78_Asset_ID 57690
Table_78_Weight 1
Table_79_Asset_ID 34722
Table_79_Weight 1
Table_80_Asset_ID 48190
Table_80_Weight 1
Table_81_Asset_ID 50025
Table_81_Weight 1
Table_82_Asset_ID 13615
Table_82_Weight 1
Table_83_Asset_ID 49391
Table_83_Weight 6
Table_84_Asset_ID 49390
Table_84_Weight 6
Table_85_Asset_ID 29510
Table_85_Weight 2
Table_86_Asset_ID 29511
Table_86_Weight 2
Table_87_Asset_ID 29512
Table_87_Weight 2
Table_88_Asset_ID 29513
Table_88_Weight 2
