GUID a3cd8ddc11544bf29b0a4cdb702f1af0
Type Magazine
Rarity Mythical
ID 48772

Size_X 1
Size_Y 1
Size_Z 0.5

Amount 200
Count_Min 15
Count_Max 200

Calibers 1
Caliber_0 33117

Range 30
Player_Damage 1
Zombie_Damage 40
Animal_Damage 40
Barricade_Damage 15000
Structure_Damage 15000
Vehicle_Damage 1150
Resource_Damage 100
Object_Damage 1500
Explosive

Tracer 48

Blueprints 1
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 48772
Blueprint_0_Build 30

Should_Drop_On_Death False

Allow_Manual_Drop False

Should_Fill_After_Detach True

Paintable
