GUID b5efd697e59f465194cbe938b7cc8efd
Type Magazine
Rarity Epic
ID 17963

Size_X 1
Size_Y 2
Size_Z 0.3

Amount 20
Count_Min 10
Count_Max 20

Calibers 1
Caliber_0 49193

Range 10
Player_Damage 0
Zombie_Damage 0
Animal_Damage 0
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0
Explosion 57187
Explosive

Explosion_Launch_Speed 50

Tracer 48
Speed 0.85

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 43
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 23362
Blueprint_1_Build 30


Paintable
Asset_Bundle_Version 3
