GUID 25f814261cba4fea933433a835720503
Type Spawn
ID 56566

Tables 28
Table_0_Asset_ID 22515
Table_0_Weight 80
Table_1_Asset_ID 31140
Table_1_Weight 80
Table_2_Asset_ID 22512
Table_2_Weight 70
Table_3_Asset_ID 13322
Table_3_Weight 60
Table_4_Asset_ID 9629
Table_4_Weight 60
Table_5_Asset_ID 5004
Table_5_Weight 60
Table_6_Asset_ID 5541
Table_6_Weight 50
Table_7_Asset_ID 13331
Table_7_Weight 50
Table_8_Asset_ID 40050
Table_8_Weight 50
Table_9_Asset_ID 13109
Table_9_Weight 50
Table_10_Asset_ID 65398
Table_10_Weight 30
Table_11_Asset_ID 65162
Table_11_Weight 30
Table_12_Asset_ID 65217
Table_12_Weight 30
Table_13_Asset_ID 40351
Table_13_Weight 30
Table_14_Asset_ID 63642
Table_14_Weight 30
Table_15_Asset_ID 63545
Table_15_Weight 30
Table_16_Asset_ID 13502
Table_16_Weight 25
Table_17_Asset_ID 5543
Table_17_Weight 20
Table_18_Asset_ID 58197
Table_18_Weight 15
Table_19_Asset_ID 55535
Table_19_Weight 15
Table_20_Asset_ID 21002
Table_20_Weight 15
Table_21_Asset_ID 21000
Table_21_Weight 10
Table_22_Asset_ID 1441
Table_22_Weight 5
Table_23_Asset_ID 45331
Table_23_Weight 5
Table_24_Asset_ID 15757
Table_24_Weight 5
Table_25_Asset_ID 40350
Table_25_Weight 3
Table_26_Asset_ID 38510
Table_26_Weight 1
Table_27_Asset_ID 38782
Table_27_Weight 1
