GUID d96a802e51404f1db38f8badc4a555e2
Type Gun
Useable Gun
Slot Primary
ID 14243

Size_X 4
Size_Y 2
Size_Z 0.45
Size2_Z 0.85

Magazine 14244

Hook_Tactical

Ammo_Min 200
Ammo_Max 200

Auto

Caliber 16163

Range 70
Firerate 4
Action Trigger

Player_Damage 30
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1

Zombie_Damage 40
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 40
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 3
Resource_Damage 10

Durability 0.25

Spread_Aim 0.8
Spread_Hip 0.1

Recoil_Min_X 1
Recoil_Min_Y 1
Recoil_Max_X 1
Recoil_Max_Y 1

Recover_X 1
Recover_Y 1

Shake_Min_X 0.001
Shake_Min_Y 0.001
Shake_Min_Z 0.001
Shake_Max_X 0.001
Shake_Max_Y 0.001
Shake_Max_Z 0.001

Muzzle 512

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 14243
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27


