GUID 840936986a7c4fd8be798bdeec1a057c
Type Gun
Rarity Mythical
Useable Gun
Slot Secondary
ID 23924

Size_X 2
Size_Y 2
Size_Z 0.4
Size2_Z 0.4

Magazine 23925


Ammo_Min 3
Ammo_Max 14

Safety
Semi

Caliber 44987

Range 250
Firerate 1
Action Trigger

Player_Damage 90
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1.2
Player_Skull_Multiplier 2.0

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 2.0

Barricade_Damage 10
Structure_Damage 5
Vehicle_Damage 15
Resource_Damage 15
Object_Damage 15

Durability 0.4

Can_Aim_During_Sprint True

Spread_Aim 0.05
Spread_Hip 0.19

Recoil_Min_X -5
Recoil_Min_Y 15
Recoil_Max_X -10
Recoil_Max_Y 20

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.05
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.075

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 13109
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27
