GUID 2885560c336942c6a41c04641e7d809d




Type Melee
Rarity Mythical
Useable Melee
Slot Secondary
ID 6713

Size_X 6
Size_Y 3
Size_Z 1
Size2_Z 1

Range 12
Strength 1.5
Weak 0.44
Strong 0.5
Stamina 0

Player_Damage 7777
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1.1
Player_Skull_Multiplier 1.1

Zombie_Damage 7777
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.9

Animal_Damage 7777
Animal_Leg_Multiplier 2.0
Animal_Spine_Multiplier 2.0
Animal_Skull_Multiplier 2.0

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 20



