GUID 90f5b3fc668b4dccbc85e66d0b467ccc
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 40552

Size_X 5
Size_Y 3
Size_Z 0.8

Magazine 40553



Ammo_Min 150
Ammo_Max 200

Auto

Caliber 2236

Range 300
Firerate 3
Replace 0.625
Action Minigun

Player_Damage 75
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 32
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 25
Resource_Damage 25
Object_Damage 20

Invulnerable

Durability 0.4

Spread_Aim 0.05
Spread_Hip 0.2

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.025
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.05

Muzzle 40002

Asset_Bundle_Version 2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 8
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 40052
Blueprint_1_Product 67
Blueprint_1_Products 6
Blueprint_1_Build 27

