GUID 3e618175e81040c4bb467376726f80be
Type Melee
Rarity Mythical
Useable Melee
Slot Secondary
ID 62984

Size_X 2
Size_Y 2
Size_Z 0.8
Size2_Z 0.8

Range 2

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 30
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 10
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 20
Resource_Damage 5
Object_Damage 2

Durability 0.15

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 76
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27

Repair
Repeated

Asset_Bundle_Version 3
