GUID 07990b81d2584bffb0623d0d0f8c0e7f
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 39816

Size_X 5
Size_Y 2
Size_Z 0.8
Size2_Z 0.8

Sight 146
Magazine 39817

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 12

Safety
Semi

Caliber 47912

Range 350
Firerate 5
Action Rail

Player_Damage 160
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2
Player_Damage_Bones Always

Zombie_Damage 500
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 100
Structure_Damage 100
Vehicle_Damage 400
Resource_Damage 250
Object_Damage 75


Durability 1
Wear 4

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -0.5
Recoil_Min_Y 3
Recoil_Max_X 0.5
Recoil_Max_Y 4

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 4


Bypass_Hash_Verification

Explosion_Launch_Speed 3
