GUID 8ad6f3f9002148b1ad991eebe8cb95f6
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 22653

Size_X 5
Size_Y 2
Size_Z 0.8
Size2_Z 0.8

Sight 146
Magazine 22654

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 2
Ammo_Max 25

Safety
Semi

Caliber 26329

Range 250
Firerate 5
Action Rail

Player_Damage 160
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.5
Player_Damage_Hallucination 10

Zombie_Damage 500
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 400
Resource_Damage 250
Object_Damage 75


Durability 1
Wear 4

Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X -1
Recoil_Min_Y 1
Recoil_Max_X 1
Recoil_Max_Y 2

Recover_X 0.1
Recover_Y 0.1

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 4

