GUID 02a844b48e714c90b2be58a6d97ae0c5
Type Melee
Rarity Mythical
Useable Melee
Slot Secondary
ID 25776

Size_X 4
Size_Y 1
Size_Z 0.4

Range 4
Strength 1.5
Stamina 15

Player_Damage 230
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1

Zombie_Damage 130
Zombie_Leg_Multiplier 1.3
Zombie_Arm_Multiplier 1.3
Zombie_Spine_Multiplier 1.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 500
Resource_Damage 25
Object_Damage 20

Durability 0.2


Asset_Bundle_Version 3
