// Made in NPC Maker by BowieD
GUID 52909973bce74496a5e93a920d6a240d
Type Quest
ID 19004
Conditions 4
Condition_0_Type Item
Condition_0_ID 35353
Condition_0_Amount 40

Condition_1_Type Kills_Zombie
Condition_1_ID 5202
Condition_1_Value 150
Condition_1_Spawn_Quantity 1
Condition_1_Nav 10
Condition_1_Radius 200
Condition_1_MinRadius 0
Condition_1_Zombie None
Condition_1_Reset 

Condition_2_Type Kills_Zombie
Condition_2_ID 5203
Condition_2_Value 600
Condition_2_Spawn_Quantity 1
Condition_2_Nav 1
Condition_2_Radius 300
Condition_2_MinRadius 0
Condition_2_Zombie None
Condition_2_Reset 

Condition_3_Type Kills_Zombie
Condition_3_ID 5204
Condition_3_Value 600
Condition_3_Spawn_Quantity 1
Condition_3_Nav 6
Condition_3_Radius 300
Condition_3_MinRadius 0
Condition_3_Zombie None
Condition_3_Reset 

Rewards 1
Reward_0_Type Item
Reward_0_ID 52630
Reward_0_Amount 1
Reward_0_Ammo 10
Reward_0_Auto_Equip True

